# NumSimul U_BOC U_EOC Np_BOC Np_EOC Pu_BOC Pu_EOC Am_BOC Am_EOC Cm_BOC Cm_EOC MA_BOC MA_EOC Pu8_BOC Pu8_EOC Pu9_BOC Pu9_EOC Pu0_BOC Pu0_EOC Pu1_BOC Pu1_EOC Pu2_BOC Pu2_EOC
53 66.96 65.2957 4.71014e-17 0.0143246 5.04 3.98673 0 0.195312 0 0.0850848 4.71014e-17 0.294722 0.263716 0.199714 2.33871 1.38373 0.956668 0.912407 0.530986 0.575464 0.949915 0.915415
54 66.96 65.3872 3.90779e-17 0.0136799 5.04 3.99687 0 0.128901 0 0.0485181 3.90779e-17 0.191099 0.260174 0.203095 3.01825 1.78125 1.01154 1.04521 0.440535 0.613595 0.309498 0.353722
55 66.96 65.3393 3.84718e-17 0.0140589 5.04 3.98842 0 0.163346 0 0.0702632 3.84718e-17 0.247668 0.462355 0.340882 2.75454 1.62002 0.70908 0.844667 0.433703 0.530868 0.680326 0.651987
56 66.96 65.4695 1.34111e-17 0.0130533 5.04 3.92013 0 0.117562 0 0.0507162 1.34111e-17 0.181332 0.293977 0.222704 4.05674 2.28215 0.00699698 0.603085 0.151187 0.364628 0.531096 0.44756
57 66.96 65.3929 7.51035e-18 0.0135217 5.04 4.00531 0 0.115401 0 0.0463829 7.51035e-18 0.175306 0.104058 0.0843916 3.47615 1.9323 1.02391 1.11601 0.0846661 0.538756 0.351215 0.333862
58 66.96 65.5283 3.59713e-17 0.0126661 5.04 3.88558 0 0.106519 0 0.0386804 3.59713e-17 0.157866 0.12887 0.108491 4.06337 2.36433 0.15822 0.657712 0.405514 0.46918 0.284021 0.285863
59 66.96 65.4054 1.55418e-17 0.0134837 5.04 3.9254 0 0.156842 0 0.0708168 1.55418e-17 0.241142 0.271689 0.201794 3.61289 1.96725 0.0354611 0.584063 0.175207 0.363614 0.944751 0.80868
60 66.96 65.428 8.42544e-17 0.0134749 5.04 3.88339 0 0.183245 0 0.0682687 8.42544e-17 0.264989 0.0280394 0.044737 2.79685 1.69774 0.627208 0.781135 0.949821 0.673067 0.638083 0.686711
61 66.96 65.4051 5.16365e-17 0.0135707 5.04 3.90574 0 0.177903 0 0.0726718 5.16365e-17 0.264145 0.12906 0.109593 3.0179 1.73334 0.487767 0.737755 0.582112 0.538743 0.823158 0.786309
62 66.96 65.3029 4.01748e-17 0.0142608 5.04 3.97635 0 0.195695 0 0.0870288 4.01748e-17 0.296985 0.274642 0.20526 2.5179 1.44276 0.745126 0.824604 0.452901 0.524006 1.04943 0.979716
63 66.96 65.4961 5.52733e-17 0.0129506 5.04 3.88315 0 0.132992 0 0.0481787 5.52733e-17 0.194122 0.161054 0.136409 3.5873 2.11891 0.298566 0.689004 0.62311 0.546631 0.369967 0.392192
64 66.96 65.2503 5.57291e-17 0.0146096 5.04 4.02465 0 0.2033 0 0.0862269 5.57291e-17 0.304137 0.043279 0.0510548 1.95037 1.21479 1.55902 1.19384 0.628249 0.687001 0.859088 0.877964
65 66.96 65.4206 5.71311e-17 0.0134905 5.04 3.95157 0 0.139143 0 0.0506004 5.71311e-17 0.203234 0.22678 0.183913 3.01018 1.81208 0.826203 0.931231 0.644054 0.631889 0.332783 0.39246
66 66.96 65.3857 1.70593e-17 0.0135916 5.04 3.93296 0 0.168246 0 0.0730756 1.70593e-17 0.254913 0.0860926 0.0713246 3.30997 1.79017 0.545235 0.809374 0.192314 0.46103 0.906388 0.801064
67 66.96 65.4153 7.28383e-17 0.0136326 5.04 3.91195 0 0.167451 0 0.0667493 7.28383e-17 0.247833 0.457704 0.352263 2.87247 1.75884 0.258467 0.612125 0.821125 0.546096 0.630234 0.642626
68 66.96 65.3329 5.62617e-17 0.0141942 5.04 3.95054 0 0.191962 0 0.0859028 5.62617e-17 0.292059 0.496986 0.364136 2.59006 1.53313 0.260839 0.594823 0.634253 0.467022 1.05786 0.991427
69 66.96 65.3304 3.56354e-17 0.0140932 5.04 4.08676 0 0.1077 0 0.0371754 3.56354e-17 0.158969 0.477206 0.355212 2.59182 1.59092 1.43357 1.23187 0.401727 0.668415 0.135682 0.240343
70 66.96 65.4227 8.26975e-17 0.0135434 5.04 3.90851 0 0.1687 0 0.0627551 8.26975e-17 0.244999 0.282195 0.229254 2.73447 1.7054 0.581033 0.753926 0.93227 0.647436 0.510033 0.572497
