# NumSimul U_BOC U_EOC Np_BOC Np_EOC Pu_BOC Pu_EOC Am_BOC Am_EOC Cm_BOC Cm_EOC MA_BOC MA_EOC Pu8_BOC Pu8_EOC Pu9_BOC Pu9_EOC Pu0_BOC Pu0_EOC Pu1_BOC Pu1_EOC Pu2_BOC Pu2_EOC
68 66.825 65.2322 1.55159e-16 0.0141223 5.10255 4.03979 0.07245 0.208497 0 0.0819302 0.07245 0.304549 0.439875 0.362673 2.45295 1.56693 0.5796 0.72712 0.874575 0.597804 0.75555 0.78526
69 68.445 66.7662 8.26212e-17 0.0141379 3.54078 2.63326 0.01422 0.110218 0 0.0509966 0.01422 0.175353 0.13509 0.110299 2.35341 1.20809 0.323505 0.58627 0.465705 0.41316 0.26307 0.315436
70 68.1075 66.4542 8.42498e-17 0.0141966 3.77962 2.90088 0.112882 0.142904 0 0.0620203 0.112883 0.219121 0.128452 0.145324 2.51066 1.34202 0.365895 0.622382 0.474885 0.441704 0.299723 0.349454
71 65.8125 64.2717 1.75637e-17 0.0142878 5.85956 5.0384 0.327937 0.200723 0 0.0471683 0.327937 0.262179 0.241312 0.297422 3.91669 2.44041 1.54069 1.49847 0.099 0.650611 0.061875 0.151485
72 66.69 65.1214 7.06539e-17 0.0139451 5.17725 4.24298 0.13275 0.151729 0 0.0447138 0.13275 0.210388 0.04248 0.0921374 3.12759 1.87252 1.48149 1.34902 0.39825 0.698799 0.12744 0.230501
73 64.0575 62.6197 1.83181e-17 0.0138526 7.55332 6.45517 0.389182 0.37861 0 0.104257 0.389182 0.496719 0.0238275 0.143864 4.72579 3.02317 1.22315 1.3873 0.103253 0.571805 1.4773 1.32902
74 66.42 64.8688 1.44533e-16 0.0143449 5.2452 4.28096 0.3348 0.30811 0 0.102422 0.3348 0.424876 0.04464 0.167945 2.89044 1.79413 0.66402 0.814262 0.81468 0.64587 0.83142 0.858759
75 67.5675 65.9526 4.63961e-17 0.0139811 4.32169 3.3559 0.110812 0.174517 0 0.07598 0.110813 0.264478 0.119678 0.13418 3.0008 1.58096 0.292545 0.644217 0.261518 0.407279 0.647145 0.589265
76 67.4325 65.8191 5.75331e-17 0.0140015 4.47615 3.51397 0.09135 0.160107 0 0.0666819 0.09135 0.240791 0.205537 0.190001 2.9369 1.62096 0.538965 0.767091 0.324292 0.475359 0.470452 0.460565
77 64.125 62.6612 1.28534e-16 0.0145444 7.34738 6.30543 0.527625 0.46678 0 0.125191 0.527625 0.606515 0.45675 0.53038 3.82725 2.5942 0.77175 0.994569 0.7245 0.689969 1.56713 1.49631
