NumSimul U_BOC U_EOC Np_BOC Np_EOC Pu_BOC Pu_EOC Am_BOC Am_EOC Cm_BOC Cm_EOC MA_BOC MA_EOC Pu8_BOC Pu8_EOC Pu9_BOC Pu9_EOC Pu0_BOC Pu0_EOC Pu1_BOC Pu1_EOC Pu2_BOC Pu2_EOC
56 66.7339 65.1527 1.13046e-16 0.0139586 5.19235 4.10534 0.0737251 0.216257 0 0.0868967 0.0737251 0.317112 0.247506 0.220667 2.85422 1.69068 0.458149 0.707769 0.637196 0.536322 0.995289 0.949901
57 66.7339 65.1873 4.2976e-17 0.0136725 5.15023 4.11231 0.115854 0.188524 0 0.0714004 0.115854 0.273597 0.100056 0.123645 3.45981 1.96577 0.710921 0.921576 0.24224 0.51291 0.637196 0.58841
58 66.7339 65.0564 1.49482e-17 0.0146211 5.11336 4.20683 0.152716 0.208077 0 0.0881372 0.152716 0.310835 0.431819 0.366204 2.90688 1.65571 0.895234 0.974717 0.0842573 0.496843 0.795178 0.713358
59 66.7339 65.1673 1.34534e-16 0.0141475 5.05544 4.05259 0.210643 0.248751 0 0.0917267 0.210643 0.354625 0.26857 0.287546 2.85948 1.75022 0.373892 0.662472 0.758316 0.553186 0.795178 0.799167
60 66.7339 65.2181 7.10038e-17 0.0139672 4.97118 4.12803 0.2949 0.169063 0 0.0423865 0.2949 0.225417 0.447617 0.445901 3.60726 2.20945 0.505544 0.825957 0.400222 0.519286 0.0105322 0.127429
61 66.7339 65.2273 1.17717e-16 0.0133713 5.23448 4.08689 0.0315965 0.178706 0 0.067845 0.0315965 0.259922 0.24224 0.2063 3.29657 1.96724 0.337029 0.685802 0.663526 0.549061 0.695123 0.678489
62 66.7339 65.2062 1.30796e-16 0.0139507 4.99224 3.97584 0.273836 0.277949 0 0.0989136 0.273836 0.390814 0.00526608 0.116213 3.21231 1.88151 0.0895234 0.54331 0.737251 0.514865 0.947894 0.919941
63 66.7339 65.1488 1.34534e-16 0.0145907 4.90272 4.08253 0.36336 0.252441 0 0.0767264 0.36336 0.343758 0.215909 0.304711 2.62777 1.69508 1.09534 1.03285 0.758316 0.699767 0.205377 0.350126
64 66.7339 65.0496 4.85816e-17 0.0149015 4.99751 4.16717 0.26857 0.247172 0 0.0961197 0.26857 0.358193 0.24224 0.279238 2.64357 1.56535 1.14274 1.06663 0.273836 0.577413 0.695123 0.678538
65 66.7339 65.2064 1.85918e-16 0.0136302 5.20815 4.09821 0.0579269 0.192998 0 0.065475 0.0579269 0.272103 0.231708 0.216229 2.6699 1.72735 0.80571 0.869865 1.04795 0.731524 0.452883 0.553238
66 66.7339 65.1385 1.53219e-16 0.0142766 5.0923 4.11378 0.173781 0.229644 0 0.0806366 0.173781 0.324557 0.210643 0.236166 2.4224 1.56814 1.07955 0.995185 0.863637 0.708227 0.516076 0.606064
67 66.7339 65.1811 1.18651e-16 0.0137771 5.17129 4.11648 0.0947894 0.195538 0 0.0688018 0.0947894 0.278117 0.0473947 0.0867243 2.90688 1.75631 1.04268 1.04451 0.668792 0.676715 0.505544 0.552228
68 66.7339 65.1511 1.5789e-16 0.0140764 5.19235 4.11792 0.0737251 0.211513 0 0.0819272 0.0737251 0.307516 0.447617 0.370269 2.49612 1.6024 0.589801 0.737702 0.889968 0.609122 0.768848 0.798431
69 66.7339 65.2655 1.22388e-16 0.013077 5.24502 4.09294 0.0210643 0.150368 0 0.0520597 0.0210643 0.215505 0.200111 0.174469 3.48614 2.11225 0.479213 0.778886 0.689856 0.601897 0.38969 0.42544
70 66.7339 65.241 1.1398e-16 0.0135029 5.11336 4.05847 0.152716 0.195659 0 0.064913 0.152716 0.274075 0.173781 0.197758 3.39662 2.05323 0.495012 0.780701 0.642462 0.582868 0.405488 0.443916
71 66.7339 65.1228 1.49482e-17 0.0144839 4.98698 4.22798 0.279102 0.162934 0 0.0446129 0.279102 0.222031 0.205377 0.255506 3.33343 1.95961 1.31125 1.27053 0.0842573 0.593028 0.0526608 0.149311
72 66.7339 65.1614 7.00696e-17 0.0139603 5.13443 4.2044 0.131652 0.150421 0 0.0446471 0.131652 0.209028 0.0421286 0.0915617 3.10172 1.85173 1.46924 1.33686 0.394956 0.69439 0.126386 0.229861
73 66.7339 65.0966 1.21454e-17 0.0144695 5.00804 4.1064 0.258038 0.254769 0 0.100761 0.258038 0.369999 0.0157982 0.111426 3.13332 1.70532 0.810976 0.940477 0.068459 0.475144 0.979491 0.874029
74 66.7339 65.1535 1.36402e-16 0.014416 4.95012 4.0171 0.315965 0.288255 0 0.101473 0.315965 0.404144 0.0421286 0.161215 2.72783 1.66155 0.626664 0.773326 0.768848 0.607866 0.784646 0.813143
75 66.7339 65.2089 5.51214e-17 0.0135792 5.13443 4.07173 0.131652 0.201593 0 0.076689 0.131652 0.291861 0.142184 0.159877 3.56514 2.03016 0.347561 0.723733 0.310699 0.459119 0.768848 0.698848
76 66.7339 65.1944 6.63325e-17 0.0136689 5.16076 4.11738 0.105322 0.180771 0 0.0672914 0.105322 0.261732 0.236974 0.222087 3.38609 1.98015 0.621397 0.862727 0.373892 0.529347 0.542406 0.523073
77 66.7339 65.0607 8.5952e-17 0.0150348 4.91325 4.08486 0.352827 0.295849 0 0.117774 0.352827 0.428658 0.305433 0.355517 2.55931 1.5334 0.516076 0.711433 0.484479 0.485809 1.04795 0.998706
78 66.7339 65.2562 1.59759e-16 0.0134878 5.09757 4.06867 0.168515 0.184792 0 0.0513343 0.168515 0.249614 0.173781 0.208982 3.19651 2.01925 0.689856 0.865616 0.9005 0.699454 0.136918 0.275369
79 66.7339 65.28 1.54153e-16 0.0132229 5.13969 4.06475 0.126386 0.170086 0 0.0462197 0.126386 0.229528 0.0210643 0.0791938 3.39662 2.10767 0.716187 0.902187 0.868903 0.709981 0.136918 0.265717
80 66.7339 65.0829 4.01732e-17 0.014649 5.01331 4.15271 0.252772 0.235653 0 0.0885081 0.252772 0.338811 0.100056 0.172943 2.87528 1.66162 1.1954 1.13094 0.226441 0.585433 0.616131 0.601766
81 66.7339 65.2125 1.43876e-16 0.0135545 5.20815 4.11723 0.0579269 0.173005 0 0.0592532 0.0579269 0.245812 0.273836 0.242727 2.97007 1.85717 0.768848 0.890803 0.810976 0.668589 0.384424 0.457939
82 66.7339 65.2375 3.83047e-17 0.0134244 5.12916 4.12161 0.136918 0.148759 0 0.0503028 0.136918 0.212486 0.279102 0.26258 3.90743 2.29091 0.458149 0.826505 0.215909 0.469638 0.26857 0.271978
83 66.7339 65.1602 2.5225e-17 0.0141927 5.00278 4.12558 0.263304 0.200774 0 0.0710319 0.263304 0.285999 0.384424 0.379659 3.52827 2.05746 0.574003 0.864799 0.142184 0.46185 0.373892 0.361808
84 66.7339 65.2173 2.42908e-17 0.0132639 5.26081 4.12966 0.00526608 0.148365 0 0.0633689 0.00526608 0.224998 0.252772 0.193741 3.8495 2.15993 0.24224 0.702459 0.136918 0.404432 0.77938 0.669102
85 66.7339 65.1175 1.56022e-16 0.0143767 5.11336 4.17104 0.152716 0.206636 0 0.068371 0.152716 0.289384 0.189579 0.214671 2.20122 1.47763 1.54296 1.23762 0.879435 0.792124 0.300167 0.448992
86 66.7339 65.111 1.53219e-16 0.0148421 4.91852 4.0763 0.347561 0.274663 0 0.0986588 0.347561 0.388164 0.516076 0.516898 2.33287 1.56571 0.652994 0.75436 0.863637 0.603097 0.552938 0.636237
87 66.7339 65.2626 1.01834e-16 0.0135389 5.03437 4.05142 0.231708 0.188266 0 0.0560757 0.231708 0.257881 0.315965 0.329479 3.70205 2.26149 0.252772 0.683701 0.574003 0.520675 0.189579 0.256074
88 66.7339 65.1895 3.73704e-18 0.0138379 5.0765 4.13171 0.189579 0.17059 0 0.0648224 0.189579 0.249251 0.484479 0.425153 3.94429 2.26741 0.184313 0.699957 0.0210643 0.362278 0.442351 0.376913
89 66.7339 65.0979 1.96195e-17 0.0142653 5.15023 4.21892 0.115854 0.175496 0 0.0679291 0.115854 0.25769 0.173781 0.175365 3.06486 1.74996 1.32179 1.23912 0.110588 0.591956 0.479213 0.462523
90 66.7339 65.1863 1.02769e-16 0.0141711 4.96591 4.05801 0.300167 0.238633 0 0.0765991 0.300167 0.329403 0.142184 0.224189 3.09646 1.88318 0.800444 0.924733 0.579269 0.610892 0.347561 0.415022
91 66.7339 65.1479 1.21454e-16 0.0140457 5.18182 4.20402 0.0842573 0.158107 0 0.0522652 0.0842573 0.224418 0.431819 0.363112 2.60671 1.67627 1.25333 1.12976 0.68459 0.709312 0.205377 0.325553
92 66.7339 65.0184 8.50177e-17 0.0152817 4.93432 4.15712 0.331763 0.275446 0 0.10946 0.331763 0.400187 0.431819 0.436738 2.24335 1.43045 0.995289 0.926013 0.479213 0.572227 0.784646 0.791692
93 66.7339 65.1951 1.2052e-16 0.0137103 5.15023 4.05523 0.115854 0.226721 0 0.0839673 0.115854 0.324399 0 0.0587144 3.04906 1.78737 0.547672 0.767207 0.679324 0.586336 0.874169 0.855603
94 66.7339 65.1126 1.42008e-16 0.0146451 4.98171 4.08973 0.284368 0.266553 0 0.0930383 0.284368 0.374237 0.105322 0.198172 2.36974 1.52111 1.14274 1.02163 0.800444 0.699469 0.563471 0.649341
95 66.7339 65.1265 8.12807e-17 0.0142657 5.1239 4.1338 0.142184 0.213496 0 0.0860733 0.142184 0.313835 0.473947 0.402867 2.93847 1.75243 0.452883 0.731138 0.458149 0.491407 0.800444 0.755962
96 66.7339 65.1246 7.28723e-17 0.0140956 5.18182 4.20591 0.0842573 0.170241 0 0.0610966 0.0842573 0.245433 0.0947894 0.113768 2.82788 1.68545 1.47977 1.29998 0.410754 0.68755 0.368626 0.419161
97 66.7339 65.1362 1.12111e-17 0.0144584 4.92905 4.08308 0.337029 0.242447 0 0.0939898 0.337029 0.350895 0.468681 0.461063 3.62306 2.05642 0.0473947 0.609288 0.063193 0.330965 0.726719 0.625343
98 66.7339 65.0955 2.5225e-17 0.0143747 5.09757 4.17533 0.168515 0.207556 0 0.0814527 0.168515 0.303383 0.179047 0.197389 3.03326 1.72324 1.09008 1.09536 0.142184 0.551177 0.652994 0.608169
99 66.7339 65.0292 2.5225e-17 0.0151394 4.95012 4.23737 0.315965 0.217037 0 0.0759629 0.315965 0.308139 0.247506 0.299025 2.71203 1.63247 1.56403 1.32315 0.142184 0.639112 0.284368 0.34362
100 66.7339 65.1206 1.49482e-16 0.0142056 5.20289 4.20083 0.063193 0.179652 0 0.0628137 0.063193 0.256671 0.36336 0.306726 2.18016 1.46726 1.4745 1.19114 0.842573 0.765403 0.342295 0.470306
101 66.7339 65.03 3.73704e-17 0.014637 5.21342 4.24985 0.0526608 0.196356 0 0.0854581 0.0526608 0.296451 0.368626 0.286204 2.46979 1.44333 1.31652 1.14148 0.210643 0.587958 0.847839 0.790883
102 66.7339 65.1344 1.72838e-16 0.0143092 5.11336 4.15839 0.152716 0.204222 0 0.0665281 0.152716 0.285059 0.352827 0.334574 2.15909 1.49193 1.35865 1.11869 0.974225 0.780873 0.26857 0.432322
103 66.7339 65.1078 1.13046e-16 0.0147478 4.95012 4.06368 0.315965 0.277065 0 0.109929 0.315965 0.401742 0.473947 0.465843 2.80682 1.70552 0.0473947 0.523088 0.637196 0.432839 0.984757 0.936387
104 66.7339 65.143 1.65364e-16 0.014174 5.16076 4.19294 0.105322 0.173552 0 0.0540559 0.105322 0.241782 0.452883 0.390524 2.19596 1.51561 1.41658 1.15981 0.932096 0.785003 0.163248 0.341991
105 66.7339 65.1257 1.37336e-16 0.0146389 4.94485 4.08214 0.321231 0.265523 0 0.0880508 0.321231 0.368212 0.0789912 0.191311 2.47506 1.58073 1.1954 1.06916 0.774114 0.712329 0.421286 0.528614
106 66.7339 65.2088 1.59759e-16 0.013688 5.15549 4.1508 0.110588 0.16119 0 0.0418337 0.110588 0.216712 0.0105322 0.0691424 2.82262 1.79473 1.35865 1.23343 0.9005 0.80893 0.063193 0.244566
107 66.7339 65.1077 1.58824e-17 0.0142524 5.12916 4.18092 0.136918 0.192108 0 0.0784303 0.136918 0.284791 0.36336 0.315761 3.20704 1.81896 0.789912 0.951877 0.0895234 0.48638 0.679324 0.607943
108 66.7339 65.1703 9.90316e-17 0.0139838 5.1081 4.10646 0.157982 0.2082 0 0.0755228 0.157982 0.297706 0.279102 0.274034 3.02273 1.82549 0.700389 0.863648 0.558204 0.579031 0.547672 0.56426
109 66.7339 65.2222 8.22149e-17 0.01355 5.15023 4.08528 0.115854 0.18353 0 0.0680832 0.115854 0.265164 0.342295 0.304678 3.54934 2.10009 0.226441 0.663276 0.463415 0.476121 0.568737 0.541119
110 66.7339 65.1969 1.30796e-16 0.0139665 5.03964 4.02132 0.226441 0.250316 0 0.0907986 0.226441 0.355081 0.231708 0.265797 3.13332 1.88419 0.131652 0.567801 0.737251 0.511417 0.80571 0.792107
111 66.7339 65.1356 1.21454e-16 0.0144215 5.02384 4.10175 0.24224 0.237864 0 0.085496 0.24224 0.337782 0.379158 0.37788 2.6699 1.68355 0.758316 0.853273 0.68459 0.60392 0.531874 0.583119
112 66.7339 65.1665 1.48547e-16 0.0137812 5.25028 4.16258 0.0157982 0.172858 0 0.0616178 0.0157982 0.248257 0.215909 0.184947 2.56985 1.63409 1.18487 1.08185 0.837307 0.733686 0.442351 0.528011
113 66.7339 65.1369 1.43876e-16 0.0145292 4.95012 4.01826 0.315965 0.296171 0 0.108821 0.315965 0.419521 0.126386 0.22284 2.64357 1.61799 0.41602 0.652791 0.810976 0.565182 0.95316 0.959456
114 66.7339 65.127 1.40139e-17 0.0142741 5.0449 4.14993 0.221175 0.206226 0 0.07575 0.221175 0.29625 0.0842573 0.147169 3.3071 1.86834 1.07428 1.12276 0.0789912 0.5392 0.500278 0.47247
115 66.7339 65.2785 7.84779e-17 0.0134997 4.98171 4.00898 0.284368 0.206516 0 0.0629559 0.284368 0.282972 0.226441 0.276365 4.02329 2.40917 0.0263304 0.59574 0.442351 0.440353 0.263304 0.287356
116 66.7339 65.2203 1.82181e-16 0.0140453 4.94485 3.95451 0.321231 0.289913 0 0.0949356 0.321231 0.398894 0.0368626 0.160902 3.04906 1.88779 0.179047 0.56607 1.02689 0.626285 0.652994 0.713459
117 66.7339 65.1808 1.37336e-16 0.0140912 5.01857 4.00794 0.247506 0.272427 0 0.0987841 0.247506 0.385303 0.068459 0.155273 2.95954 1.76359 0.279102 0.614021 0.774114 0.549944 0.937362 0.925111
