# Simulation number	U	Np	Pu	Am	Cm	MA	Pu-238	Pu-239	Pu-240	Pu-241	Pu-242
710	5.995810E+07	6.322929E+03	1.043174E+07	9.441044E+05	0.000000E+00	9.504273E+05	7.854855E+05	7.205277E+06	2.694339E+05	1.107540E+06	1.064004E+06
711	5.992872E+07	5.102425E+03	1.064173E+07	7.647100E+05	0.000000E+00	7.698124E+05	1.403184E+04	6.576878E+06	2.716303E+06	9.156322E+05	4.188870E+05
712	5.994925E+07	6.639543E+03	1.043183E+07	9.525492E+05	0.000000E+00	9.591887E+05	5.478821E+05	6.397555E+06	1.560274E+06	8.643260E+05	1.061795E+06
713	5.994519E+07	6.856748E+02	1.123353E+07	1.608706E+05	0.000000E+00	1.615563E+05	4.273091E+05	7.366971E+06	2.688331E+06	5.699920E+05	1.809224E+05
714	5.994259E+07	2.063233E+03	1.109525E+07	3.003663E+05	0.000000E+00	3.024295E+05	3.719189E+05	8.758514E+06	1.529115E+06	3.021425E+05	1.335614E+05
715	5.992966E+07	4.254582E+01	1.140354E+07	7.030625E+03	0.000000E+00	7.073171E+03	4.693255E+04	9.580501E+06	1.175547E+06	1.266684E+04	5.878961E+05
716	5.996903E+07	2.203876E+03	1.093287E+07	4.361765E+05	0.000000E+00	4.383804E+05	1.031625E+06	4.734338E+06	3.203813E+06	1.209871E+06	7.532213E+05
717	5.995061E+07	4.269665E+03	1.074474E+07	6.406510E+05	0.000000E+00	6.449207E+05	5.614230E+05	5.881298E+06	3.313122E+06	7.719490E+05	2.169436E+05
718	5.993904E+07	2.942800E+03	1.080538E+07	5.929103E+05	0.000000E+00	5.958531E+05	2.922090E+05	6.150274E+06	1.466730E+06	1.696215E+06	1.199949E+06
719	5.995918E+07	2.081880E+03	1.091868E+07	4.603306E+05	0.000000E+00	4.624125E+05	7.828983E+05	4.061453E+06	3.396228E+06	1.514400E+06	1.163699E+06
720	5.994630E+07	5.177079E+03	1.071148E+07	6.773091E+05	0.000000E+00	6.824862E+05	4.693086E+05	8.505059E+06	1.328370E+06	1.707014E+05	2.380389E+05
721	5.996776E+07	5.203079E+03	1.057633E+07	7.909798E+05	0.000000E+00	7.961829E+05	1.006855E+06	3.784818E+06	2.892612E+06	1.019724E+06	1.872323E+06
722	5.993774E+07	7.448773E+03	1.025810E+07	1.136984E+06	0.000000E+00	1.144433E+06	2.703652E+05	6.302795E+06	5.831189E+05	1.495308E+06	1.606508E+06
723	5.994197E+07	2.531230E+03	1.096913E+07	4.266373E+05	0.000000E+00	4.291685E+05	3.615870E+05	8.300295E+06	1.246984E+06	8.178746E+05	2.423915E+05
724	5.994051E+07	2.705990E+03	1.082927E+07	5.677814E+05	0.000000E+00	5.704874E+05	3.286779E+05	6.432657E+06	1.441747E+06	1.733423E+06	8.927693E+05
725	5.996632E+07	2.437262E+03	1.086191E+07	5.095986E+05	0.000000E+00	5.120359E+05	9.748778E+05	4.343502E+06	2.421114E+06	1.547455E+06	1.574966E+06
726	5.994515E+07	2.126286E+03	1.090816E+07	4.848341E+05	0.000000E+00	4.869604E+05	4.417355E+05	5.821926E+06	1.911600E+06	1.659654E+06	1.073248E+06
727	5.993336E+07	4.664125E+03	1.075110E+07	6.511420E+05	0.000000E+00	6.558061E+05	1.467751E+05	7.477402E+06	1.255517E+06	4.687043E+05	1.402705E+06
728	5.993434E+07	3.428238E+03	1.075100E+07	6.515059E+05	0.000000E+00	6.549341E+05	1.789728E+05	6.012670E+06	1.062515E+06	1.674427E+06	1.822419E+06
729	5.993130E+07	4.395157E+03	1.074411E+07	6.604625E+05	0.000000E+00	6.648577E+05	9.437881E+04	5.989255E+06	1.681675E+06	8.021891E+05	2.176611E+06
730	5.993165E+07	1.889144E+03	1.113280E+07	2.739278E+05	0.000000E+00	2.758169E+05	8.735044E+04	6.044115E+06	2.877853E+06	2.682301E+05	1.855254E+06
731	5.993517E+07	4.512543E+03	1.073200E+07	6.685908E+05	0.000000E+00	6.731033E+05	1.735080E+05	6.587566E+06	2.964578E+06	7.504553E+05	2.558888E+05
732	5.996749E+07	5.623755E+03	1.044115E+07	9.260092E+05	0.000000E+00	9.316330E+05	1.013761E+06	3.992127E+06	1.791906E+06	1.648881E+06	1.994473E+06
733	5.993793E+07	1.141588E+03	1.116033E+07	2.408761E+05	0.000000E+00	2.420177E+05	2.420164E+05	5.736296E+06	3.264973E+06	7.416217E+05	1.175418E+06
734	5.996138E+07	6.536657E+03	1.041895E+07	9.533998E+05	0.000000E+00	9.599365E+05	8.391175E+05	5.275222E+06	3.042500E+06	9.710101E+05	2.910977E+05
735	5.995012E+07	4.041550E+03	1.084253E+07	5.435770E+05	0.000000E+00	5.476186E+05	5.652400E+05	8.710481E+06	1.313440E+06	2.473092E+05	6.057061E+03
