simul	U	Np	Pu	Am	Cm	MA	Pu-238	Pu-239	Pu-240	Pu-241	Pu-242
318	5.817934E+07	2.437328E+04	1.117495E+07	4.050369E+05	2.702872E+04	4.564389E+05	8.421252E+04	6.397444E+06	2.445614E+06	2.888179E+05	1.958795E+06
319	5.840091E+07	2.344855E+04	1.077647E+07	5.756420E+05	3.267325E+04	6.317638E+05	7.483389E+05	6.405292E+06	1.898850E+06	6.544573E+05	1.069486E+06
320	5.850338E+07	2.159619E+04	1.085231E+07	4.061292E+05	2.183234E+04	4.495578E+05	9.368377E+05	7.643101E+06	1.685165E+06	2.341658E+05	3.530212E+05
321	5.864213E+07	1.943861E+04	1.084721E+07	2.796506E+05	1.331776E+04	3.124070E+05	7.305073E+05	9.132901E+06	5.893567E+05	1.559625E+05	2.384733E+05
322	5.817449E+07	2.374518E+04	1.114882E+07	4.365860E+05	2.839556E+04	4.887268E+05	3.082954E+05	5.659407E+06	3.122760E+06	6.520828E+05	1.406223E+06
323	5.837646E+07	2.172796E+04	1.109173E+07	3.013085E+05	1.778590E+04	3.408223E+05	7.037604E+05	6.579294E+06	1.318440E+06	5.229102E+05	1.967249E+06
324	5.799410E+07	2.734781E+04	1.109373E+07	6.511423E+05	4.744918E+04	7.259392E+05	3.484778E+05	4.900233E+06	3.367489E+06	5.918777E+05	1.885578E+06
325	5.838722E+07	2.623228E+04	1.038848E+07	9.548898E+05	5.452153E+04	1.035644E+06	8.463812E+05	5.522662E+06	2.212523E+06	1.023525E+06	7.833507E+05
326	5.836733E+07	2.298096E+04	1.097863E+07	4.153963E+05	2.464885E+04	4.630261E+05	7.194985E+05	6.591691E+06	1.367731E+06	4.406355E+05	1.859006E+06
327	5.838709E+07	2.732112E+04	1.045122E+07	8.922833E+05	5.149047E+04	9.710949E+05	4.474748E+05	6.740788E+06	8.643800E+05	4.302502E+05	1.968259E+06
328	5.838933E+07	2.113787E+04	1.107382E+07	3.046683E+05	1.724153E+04	3.430477E+05	6.145318E+04	7.866727E+06	2.828622E+06	1.721232E+05	1.448905E+05
329	5.810432E+07	2.730292E+04	1.091917E+07	7.121865E+05	4.908192E+04	7.885714E+05	2.250949E+05	5.724731E+06	3.007683E+06	3.786867E+05	1.582907E+06
330	5.846632E+07	2.253299E+04	1.064188E+07	6.448669E+05	3.409769E+04	7.014976E+05	8.283354E+05	5.964013E+06	2.114198E+06	1.163922E+06	5.713858E+05
331	5.839335E+07	2.903027E+04	1.010649E+07	1.215887E+06	6.873335E+04	1.313650E+06	8.891665E+05	4.899737E+06	8.664394E+05	1.302738E+06	2.148327E+06
332	5.850053E+07	2.363963E+04	1.060050E+07	6.478432E+05	3.459439E+04	7.060772E+05	8.881350E+05	7.062682E+06	1.106915E+06	5.409285E+05	1.001803E+06
