simul	U	Np	Pu	Am	Cm	MA	Pu-238	Pu-239	Pu-240	Pu-241	Pu-242
469	5.941321E+07	2.224081E+04	9.909317E+06	4.394754E+05	2.641193E+04	4.881281E+05	3.510605E+05	6.231946E+06	2.549302E+06	6.739009E+05	1.031013E+05
470	6.081823E+07	2.569908E+04	8.007248E+06	9.080086E+05	5.422499E+04	9.879326E+05	4.822127E+05	5.632318E+06	6.396202E+05	1.024361E+06	2.287226E+05
471	6.022725E+07	2.276684E+04	9.188349E+06	3.513018E+05	2.271571E+04	3.967843E+05	2.735356E+04	6.362440E+06	1.001545E+06	5.359701E+05	1.260989E+06
472	5.627375E+07	2.671313E+04	1.266384E+07	7.983125E+05	4.780698E+04	8.728326E+05	4.496043E+05	5.705090E+06	3.815649E+06	7.145843E+05	1.978847E+06
473	6.075508E+07	2.095733E+04	8.794902E+06	2.261694E+05	1.396681E+04	2.610935E+05	5.834908E+05	6.282359E+06	1.084573E+06	5.205309E+05	3.239299E+05
474	6.072792E+07	2.206588E+04	8.808715E+06	2.359116E+05	1.571237E+04	2.736898E+05	1.938237E+05	6.946620E+06	8.412003E+05	1.478189E+05	6.792210E+05
475	6.099690E+07	2.299834E+04	8.299064E+06	4.644640E+05	2.900397E+04	5.164663E+05	6.458519E+05	5.970394E+06	3.603615E+05	6.603843E+05	6.620382E+05
476	5.929988E+07	2.356852E+04	9.815141E+06	6.358449E+05	3.773662E+04	6.971500E+05	2.663038E+05	5.814523E+06	2.397708E+06	9.674673E+05	3.691229E+05
477	6.070387E+07	2.165407E+04	8.825378E+06	2.448681E+05	1.578160E+04	2.823038E+05	2.497517E+04	6.647983E+06	1.021944E+06	4.206271E+05	7.098180E+05
478	5.886864E+07	2.673735E+04	9.952007E+06	9.107626E+05	5.472964E+04	9.922296E+05	3.991857E+05	5.573122E+06	1.749470E+06	9.374373E+05	1.292741E+06
479	5.500226E+07	3.151689E+04	1.324539E+07	1.453666E+06	8.032508E+04	1.565508E+06	7.358689E+05	4.108778E+06	4.047410E+06	1.601010E+06	2.752249E+06
480	5.897644E+07	2.574223E+04	9.933710E+06	8.285960E+05	4.953842E+04	9.038766E+05	1.852113E+05	5.349082E+06	1.816294E+06	1.162987E+06	1.420083E+06
481	6.124802E+07	2.152174E+04	8.293767E+06	2.322275E+05	1.487689E+04	2.686262E+05	3.740404E+05	6.802859E+06	6.287798E+05	2.468524E+05	2.412216E+05
482	5.938744E+07	2.254791E+04	9.913505E+06	4.597541E+05	2.778376E+04	5.100858E+05	6.122011E+05	5.961998E+06	2.214365E+06	7.168084E+05	4.081118E+05
483	5.943561E+07	2.528646E+04	9.605256E+06	7.031339E+05	4.332153E+04	7.717419E+05	6.286201E+05	5.638700E+06	1.221775E+06	7.881678E+05	1.327937E+06
484	5.895508E+07	2.503904E+04	1.014476E+07	6.481359E+05	3.998969E+04	7.131646E+05	6.224277E+05	5.425453E+06	1.404662E+06	8.755861E+05	1.816560E+06
485	5.958504E+07	2.516769E+04	9.437914E+06	7.223515E+05	4.404252E+04	7.915617E+05	5.285648E+05	5.143930E+06	9.178497E+05	1.124577E+06	1.722923E+06
486	5.834083E+07	2.506510E+04	1.080905E+07	5.991094E+05	3.691279E+04	6.610872E+05	8.998583E+05	5.767923E+06	1.531191E+06	5.930590E+05	2.016936E+06
487	5.710253E+07	2.702830E+04	1.164575E+07	9.807091E+05	5.675823E+04	1.064496E+06	3.153650E+05	5.166703E+06	3.309105E+06	1.225963E+06	1.628563E+06
488	5.903582E+07	2.105565E+04	1.055424E+07	1.860803E+05	1.176692E+04	2.189029E+05	2.387112E+04	6.989101E+06	3.006267E+06	2.339558E+05	3.010378E+05
489	5.900689E+07	2.356590E+04	1.022850E+07	5.209091E+05	3.192796E+04	5.764030E+05	6.199169E+05	5.735737E+06	1.959101E+06	7.641612E+05	1.149534E+06
490	5.979797E+07	2.490184E+04	9.443213E+06	5.109587E+05	3.306293E+04	5.689234E+05	3.869320E+05	6.860397E+06	5.445782E+05	1.179682E+05	1.533274E+06
491	5.904453E+07	2.789454E+04	9.716030E+06	9.662375E+05	5.872637E+04	1.052858E+06	1.725717E+05	5.733443E+06	9.969169E+05	8.590573E+05	1.953968E+06
492	5.979833E+07	2.431688E+04	9.183868E+06	7.610163E+05	4.482575E+04	8.301589E+05	4.370166E+05	5.702668E+06	1.909551E+06	1.025230E+06	1.093947E+05
493	5.734665E+07	2.719494E+04	1.141382E+07	9.687767E+05	5.668285E+04	1.052654E+06	8.795919E+05	4.695875E+06	2.648127E+06	1.247030E+06	1.943123E+06
494	5.709032E+07	2.639726E+04	1.184521E+07	8.007543E+05	4.810165E+04	8.752532E+05	2.450391E+05	5.956375E+06	3.397753E+06	6.981604E+05	1.547826E+06
495	6.002135E+07	2.273150E+04	9.361026E+06	3.818213E+05	2.419523E+04	4.287480E+05	2.942845E+04	6.625986E+06	1.580549E+06	4.338181E+05	6.912154E+05
496	6.112765E+07	2.339124E+04	8.064898E+06	5.617014E+05	3.441850E+04	6.195111E+05	2.389626E+05	6.302777E+06	7.533109E+05	6.681565E+05	1.016852E+05
497	5.972867E+07	2.415838E+04	9.505004E+06	5.193833E+05	3.292010E+04	5.764618E+05	6.751751E+05	6.438886E+06	1.320294E+06	2.980748E+05	7.725369E+05
