simul	U	Np	Pu	Am	Cm	MA	Pu-238	Pu-239	Pu-240	Pu-241	Pu-242
67	6.086034E+07	5.016077E+03	9.633344E+06	8.415743E+05	0.000000E+00	8.465904E+05	5.743946E+05	4.626961E+06	9.121632E+05	1.590899E+06	1.928926E+06
68	5.825874E+07	6.377075E+03	1.211349E+07	9.616575E+05	0.000000E+00	9.680346E+05	9.503127E+05	4.873565E+06	3.894452E+06	1.189852E+06	1.205312E+06
69	6.315315E+07	2.503507E+03	7.705055E+06	4.795625E+05	0.000000E+00	4.820660E+05	4.593375E+05	5.699249E+06	2.879420E+05	1.251947E+06	6.579998E+03
70	6.183471E+07	2.203530E+03	9.187592E+06	3.157616E+05	0.000000E+00	3.179651E+05	8.562100E+05	6.447093E+06	1.016476E+06	2.840046E+05	5.838085E+05
71	6.083377E+07	4.457304E+03	9.739183E+06	7.628567E+05	0.000000E+00	7.673140E+05	4.157422E+05	5.041889E+06	2.066137E+06	1.529292E+06	6.861230E+05
72	5.996704E+07	5.975790E+03	1.049008E+07	8.771762E+05	0.000000E+00	8.831520E+05	1.363302E+05	5.768993E+06	2.210622E+06	9.306243E+05	1.443506E+06
73	5.798314E+07	8.660958E+03	1.200936E+07	1.339120E+06	0.000000E+00	1.347781E+06	1.533280E+05	4.123711E+06	3.469043E+06	1.870232E+06	2.393043E+06
74	6.207875E+07	4.628946E+03	8.527371E+06	7.295132E+05	0.000000E+00	7.341421E+05	5.761274E+05	5.648827E+06	7.635058E+05	1.105757E+06	4.331539E+05
75	5.959136E+07	2.424719E+03	1.141690E+07	3.295751E+05	0.000000E+00	3.319998E+05	5.469418E+05	6.417106E+06	2.660917E+06	1.749651E+05	1.616975E+06
76	5.868650E+07	7.675684E+03	1.157330E+07	1.072792E+06	0.000000E+00	1.080468E+06	6.995351E+05	5.489285E+06	3.245519E+06	7.807015E+05	1.358264E+06
77	6.196325E+07	3.033190E+03	8.975223E+06	3.987652E+05	0.000000E+00	4.017984E+05	5.404046E+05	6.963537E+06	1.292650E+06	1.149170E+05	6.371392E+04
78	6.071101E+07	2.230877E+03	1.031700E+07	3.100301E+05	0.000000E+00	3.122610E+05	1.063285E+05	6.872096E+06	2.558776E+06	2.133019E+05	5.665008E+05
79	6.227233E+07	3.182340E+03	8.653360E+06	4.113907E+05	0.000000E+00	4.145730E+05	3.720347E+05	7.081623E+06	5.963512E+05	6.685738E+04	5.364933E+05
80	5.892014E+07	2.454528E+03	1.196590E+07	4.517824E+05	0.000000E+00	4.542369E+05	5.297304E+05	4.990976E+06	2.957332E+06	1.085941E+06	2.401919E+06
81	6.256835E+07	3.558715E+03	8.290631E+06	4.777198E+05	0.000000E+00	4.812785E+05	1.041208E+05	7.025806E+06	2.917117E+03	2.107081E+05	9.470793E+05
82	6.114747E+07	4.267174E+03	9.637371E+06	5.511684E+05	0.000000E+00	5.554356E+05	6.065623E+04	7.192576E+06	2.036768E+06	8.609423E+04	2.612769E+05
83	5.941335E+07	7.390565E+03	1.088831E+07	1.031220E+06	0.000000E+00	1.038611E+06	7.518687E+05	5.752587E+06	2.881717E+06	7.384495E+05	7.636904E+05
84	6.080036E+07	1.866447E+03	1.020117E+07	3.368785E+05	0.000000E+00	3.387449E+05	8.119851E+05	5.718922E+06	2.215206E+06	7.745230E+05	6.805301E+05
85	6.168609E+07	5.341563E+02	9.546612E+06	1.070304E+05	0.000000E+00	1.075646E+05	8.400271E+04	6.741804E+06	1.141780E+06	3.033428E+05	1.275682E+06
86	6.301577E+07	1.298525E+03	8.128764E+06	1.944408E+05	0.000000E+00	1.957393E+05	3.491834E+05	6.949831E+06	2.307066E+04	2.317012E+05	5.749775E+05
87	6.151332E+07	1.935850E+03	9.425284E+06	3.997311E+05	0.000000E+00	4.016669E+05	1.618126E+05	5.434744E+06	6.766543E+05	1.190418E+06	1.961655E+06
88	6.217407E+07	3.926086E+03	8.554474E+06	6.078082E+05	0.000000E+00	6.117343E+05	8.795624E+05	5.749388E+06	4.275017E+05	8.537449E+05	6.442765E+05
89	6.131181E+07	3.016707E+03	9.456209E+06	5.692333E+05	0.000000E+00	5.722500E+05	2.505041E+05	5.283479E+06	1.802537E+06	1.442161E+06	6.775277E+05
90	5.920799E+07	1.925733E+03	1.173934E+07	3.910172E+05	0.000000E+00	3.929429E+05	5.267121E+05	5.118539E+06	3.274335E+06	1.133241E+06	1.686513E+06
91	6.046730E+07	4.412187E+03	1.021447E+07	6.540837E+05	0.000000E+00	6.584959E+05	8.664303E+05	5.721662E+06	2.092043E+06	7.365485E+05	7.977864E+05
92	6.225679E+07	4.209023E+03	8.477843E+06	6.014356E+05	0.000000E+00	6.056446E+05	3.758873E+05	6.541579E+06	7.397649E+05	5.293380E+05	2.912738E+05
93	5.804194E+07	6.728467E+03	1.218465E+07	1.106953E+06	0.000000E+00	1.113681E+06	6.078412E+05	3.693170E+06	3.441231E+06	1.965409E+06	2.476997E+06
94	5.918257E+07	6.794725E+03	1.104306E+07	1.107841E+06	0.000000E+00	1.114636E+06	4.461021E+05	4.154094E+06	2.410082E+06	1.907752E+06	2.125031E+06
95	5.986406E+07	3.713613E+03	1.095722E+07	5.152749E+05	0.000000E+00	5.189885E+05	8.532872E+05	6.154353E+06	1.429135E+06	3.488061E+05	2.171636E+06
96	6.036296E+07	5.803128E+03	1.001487E+07	9.566467E+05	0.000000E+00	9.624498E+05	2.668532E+05	4.757789E+06	1.943562E+06	1.709949E+06	1.336714E+06
97	6.192910E+07	4.892194E+03	8.605082E+06	8.011971E+05	0.000000E+00	8.060893E+05	6.390426E+05	5.227855E+06	9.164027E+05	1.400905E+06	4.208765E+05
98	6.220757E+07	5.160714E+02	9.020351E+06	1.118342E+05	0.000000E+00	1.123503E+05	4.164022E+05	6.723009E+06	1.488961E+06	3.578953E+05	3.408319E+04
99	5.901060E+07	5.133553E+03	1.164958E+07	6.749481E+05	0.000000E+00	6.800817E+05	1.013405E+06	6.114043E+06	3.455555E+06	1.949065E+05	8.716736E+05
100	6.087851E+07	2.702638E+03	1.003503E+07	4.240221E+05	0.000000E+00	4.267247E+05	5.924767E+05	5.898908E+06	1.380681E+06	6.309222E+05	1.532047E+06
101	6.004310E+07	5.862417E+03	1.039942E+07	8.918875E+05	0.000000E+00	8.977499E+05	2.578140E+05	5.369077E+06	1.936279E+06	1.154130E+06	1.682118E+06
102	6.152777E+07	2.728351E+03	9.389643E+06	4.201286E+05	0.000000E+00	4.228570E+05	6.585392E+04	6.574585E+06	1.860566E+06	5.759475E+05	3.126909E+05
103	6.203227E+07	3.413278E+03	8.729243E+06	5.753433E+05	0.000000E+00	5.787566E+05	8.159084E+05	5.540650E+06	1.122795E+06	1.103164E+06	1.467253E+05
104	6.083668E+07	2.440519E+03	1.009703E+07	4.041177E+05	0.000000E+00	4.065582E+05	1.128670E+05	6.270051E+06	2.675510E+06	7.329512E+05	3.056499E+05
105	6.021538E+07	3.418161E+03	1.056144E+07	5.600388E+05	0.000000E+00	5.634570E+05	5.979828E+05	5.484406E+06	2.389118E+06	9.806918E+05	1.109241E+06
106	6.263807E+07	3.666757E+03	8.180752E+06	5.177842E+05	0.000000E+00	5.214510E+05	3.455400E+04	6.829603E+06	3.149962E+04	4.137147E+05	8.713809E+05
107	6.036122E+07	6.720954E+03	1.000561E+07	9.667228E+05	0.000000E+00	9.734438E+05	6.385398E+05	5.597152E+06	1.553828E+06	8.941063E+05	1.321984E+06
108	6.114981E+07	1.755639E+03	9.794578E+06	3.941318E+05	0.000000E+00	3.958874E+05	6.598526E+05	5.109600E+06	1.855750E+06	1.322755E+06	8.466208E+05
109	6.214122E+07	7.880520E+02	9.074938E+06	1.233180E+05	0.000000E+00	1.241061E+05	1.489655E+05	6.876617E+06	3.520493E+05	1.814994E+05	1.515807E+06
110	6.177691E+07	2.687940E+03	9.096275E+06	4.643956E+05	0.000000E+00	4.670835E+05	4.771379E+05	5.690834E+06	5.795386E+04	9.557715E+05	1.914578E+06
111	6.281872E+07	1.961154E+03	8.141542E+06	3.780438E+05	0.000000E+00	3.800050E+05	2.728752E+03	6.121897E+06	2.397986E+05	9.989765E+05	7.781407E+05
112	6.152972E+07	1.387272E+03	9.530558E+06	2.786054E+05	0.000000E+00	2.799927E+05	6.523556E+05	5.893067E+06	1.684609E+06	7.926948E+05	5.078319E+05
113	6.133269E+07	6.124476E+02	9.892925E+06	1.140459E+05	0.000000E+00	1.146583E+05	5.562334E+05	6.639180E+06	2.357406E+06	2.811011E+05	5.900485E+04
